VCD info: dumpfile test.vcd opened for output.
                   0Starting simulation
                   0testSW = 0000000000, testKEY = 00, clock = 0000000000, testLED = 0, testHEX0 = 10100100, testHEX1 = 11000000, testHEX2 = 11111001, testHEX3 = zzzzzzzz, testHEX4 = 11111001, testHEX5 = 11111111
                1220testSW = 0000000000, testKEY = 11, clock = 0000000000, testLED = 0, testHEX0 = 10000010, testHEX1 = 11111001, testHEX2 = 11111001, testHEX3 = zzzzzzzz, testHEX4 = 11111000, testHEX5 = 11111001
                1230testSW = 0000000000, testKEY = 11, clock = 0000000000, testLED = 1, testHEX0 = 10000010, testHEX1 = 11111001, testHEX2 = 11111001, testHEX3 = zzzzzzzz, testHEX4 = 11111000, testHEX5 = 11111001
                1240testSW = 0000000000, testKEY = 11, clock = 0000000000, testLED = 0, testHEX0 = 10000010, testHEX1 = 11111001, testHEX2 = 11111001, testHEX3 = zzzzzzzz, testHEX4 = 11111000, testHEX5 = 11111001
                1250testSW = 0000000000, testKEY = 11, clock = 0000000000, testLED = 1, testHEX0 = 10000010, testHEX1 = 11111001, testHEX2 = 11111001, testHEX3 = zzzzzzzz, testHEX4 = 11111000, testHEX5 = 11111001
                1260testSW = 0000000000, testKEY = 11, clock = 0000000000, testLED = 0, testHEX0 = 10000010, testHEX1 = 11111001, testHEX2 = 11111001, testHEX3 = zzzzzzzz, testHEX4 = 11111000, testHEX5 = 11111001
                1270testSW = 0000000000, testKEY = 11, clock = 0000000001, testLED = 1, testHEX0 = 11111000, testHEX1 = 11111001, testHEX2 = 11111001, testHEX3 = zzzzzzzz, testHEX4 = 10000000, testHEX5 = 11111001
                1280testSW = 0000000000, testKEY = 11, clock = 0000000001, testLED = 0, testHEX0 = 11111000, testHEX1 = 11111001, testHEX2 = 11111001, testHEX3 = zzzzzzzz, testHEX4 = 10000000, testHEX5 = 11111001
                1290testSW = 0000000000, testKEY = 11, clock = 0000000001, testLED = 1, testHEX0 = 11111000, testHEX1 = 11111001, testHEX2 = 11111001, testHEX3 = zzzzzzzz, testHEX4 = 10000000, testHEX5 = 11111001
                1300testSW = 0000000000, testKEY = 11, clock = 0000000001, testLED = 0, testHEX0 = 11111000, testHEX1 = 11111001, testHEX2 = 11111001, testHEX3 = zzzzzzzz, testHEX4 = 10000000, testHEX5 = 11111001
                1310testSW = 0000000000, testKEY = 11, clock = 0000000001, testLED = 1, testHEX0 = 11111000, testHEX1 = 11111001, testHEX2 = 11111001, testHEX3 = zzzzzzzz, testHEX4 = 10000000, testHEX5 = 11111001
                1320testSW = 0000000000, testKEY = 11, clock = 0000000001, testLED = 0, testHEX0 = 11111000, testHEX1 = 11111001, testHEX2 = 11111001, testHEX3 = zzzzzzzz, testHEX4 = 10000000, testHEX5 = 11111001
                1330testSW = 0000000000, testKEY = 11, clock = 0000000001, testLED = 1, testHEX0 = 11111000, testHEX1 = 11111001, testHEX2 = 11111001, testHEX3 = zzzzzzzz, testHEX4 = 10000000, testHEX5 = 11111001
                1340testSW = 0000000000, testKEY = 11, clock = 0000000001, testLED = 0, testHEX0 = 11111000, testHEX1 = 11111001, testHEX2 = 11111001, testHEX3 = zzzzzzzz, testHEX4 = 10000000, testHEX5 = 11111001
                1350testSW = 0000000000, testKEY = 11, clock = 0000000000, testLED = 1, testHEX0 = 10000000, testHEX1 = 11111001, testHEX2 = 11111001, testHEX3 = zzzzzzzz, testHEX4 = 10011000, testHEX5 = 11111001
                1360testSW = 0000000000, testKEY = 11, clock = 0000000000, testLED = 0, testHEX0 = 10000000, testHEX1 = 11111001, testHEX2 = 11111001, testHEX3 = zzzzzzzz, testHEX4 = 10011000, testHEX5 = 11111001
                1370testSW = 0000000000, testKEY = 11, clock = 0000000000, testLED = 1, testHEX0 = 10000000, testHEX1 = 11111001, testHEX2 = 11111001, testHEX3 = zzzzzzzz, testHEX4 = 10011000, testHEX5 = 11111001
                1380testSW = 0000000000, testKEY = 11, clock = 0000000000, testLED = 0, testHEX0 = 10000000, testHEX1 = 11111001, testHEX2 = 11111001, testHEX3 = zzzzzzzz, testHEX4 = 10011000, testHEX5 = 11111001
                1390testSW = 0000000000, testKEY = 11, clock = 0000000000, testLED = 1, testHEX0 = 10000000, testHEX1 = 11111001, testHEX2 = 11111001, testHEX3 = zzzzzzzz, testHEX4 = 10011000, testHEX5 = 11111001
                1400testSW = 0000000000, testKEY = 11, clock = 0000000000, testLED = 0, testHEX0 = 10000000, testHEX1 = 11111001, testHEX2 = 11111001, testHEX3 = zzzzzzzz, testHEX4 = 10011000, testHEX5 = 11111001
                1410testSW = 0000000000, testKEY = 11, clock = 0000000000, testLED = 1, testHEX0 = 10000000, testHEX1 = 11111001, testHEX2 = 11111001, testHEX3 = zzzzzzzz, testHEX4 = 10011000, testHEX5 = 11111001
                1420testSW = 0000000000, testKEY = 11, clock = 0000000000, testLED = 0, testHEX0 = 10000000, testHEX1 = 11111001, testHEX2 = 11111001, testHEX3 = zzzzzzzz, testHEX4 = 10011000, testHEX5 = 11111001
                1430testSW = 0000000000, testKEY = 11, clock = 0000000001, testLED = 1, testHEX0 = 10011000, testHEX1 = 11111001, testHEX2 = 11111001, testHEX3 = zzzzzzzz, testHEX4 = 11000000, testHEX5 = 10100100
                1440testSW = 0000000000, testKEY = 11, clock = 0000000001, testLED = 0, testHEX0 = 10011000, testHEX1 = 11111001, testHEX2 = 11111001, testHEX3 = zzzzzzzz, testHEX4 = 11000000, testHEX5 = 10100100
                1450testSW = 0000000000, testKEY = 11, clock = 0000000001, testLED = 1, testHEX0 = 10011000, testHEX1 = 11111001, testHEX2 = 11111001, testHEX3 = zzzzzzzz, testHEX4 = 11000000, testHEX5 = 10100100
                1460testSW = 0000000000, testKEY = 11, clock = 0000000001, testLED = 0, testHEX0 = 10011000, testHEX1 = 11111001, testHEX2 = 11111001, testHEX3 = zzzzzzzz, testHEX4 = 11000000, testHEX5 = 10100100
                1470testSW = 0000000000, testKEY = 11, clock = 0000000001, testLED = 1, testHEX0 = 10011000, testHEX1 = 11111001, testHEX2 = 11111001, testHEX3 = zzzzzzzz, testHEX4 = 11000000, testHEX5 = 10100100
                1480testSW = 0000000000, testKEY = 11, clock = 0000000001, testLED = 0, testHEX0 = 10011000, testHEX1 = 11111001, testHEX2 = 11111001, testHEX3 = zzzzzzzz, testHEX4 = 11000000, testHEX5 = 10100100
                1490testSW = 0000000000, testKEY = 11, clock = 0000000001, testLED = 1, testHEX0 = 10011000, testHEX1 = 11111001, testHEX2 = 11111001, testHEX3 = zzzzzzzz, testHEX4 = 11000000, testHEX5 = 10100100
                1500testSW = 0000000000, testKEY = 11, clock = 0000000001, testLED = 0, testHEX0 = 10011000, testHEX1 = 11111001, testHEX2 = 11111001, testHEX3 = zzzzzzzz, testHEX4 = 11000000, testHEX5 = 10100100
                1510testSW = 0000000000, testKEY = 11, clock = 0000000000, testLED = 1, testHEX0 = 11000000, testHEX1 = 10100100, testHEX2 = 11111001, testHEX3 = zzzzzzzz, testHEX4 = 11111001, testHEX5 = 10100100
                1520testSW = 0000000000, testKEY = 11, clock = 0000000000, testLED = 0, testHEX0 = 11000000, testHEX1 = 10100100, testHEX2 = 11111001, testHEX3 = zzzzzzzz, testHEX4 = 11111001, testHEX5 = 10100100
                1530testSW = 0000000000, testKEY = 11, clock = 0000000000, testLED = 1, testHEX0 = 11000000, testHEX1 = 10100100, testHEX2 = 11111001, testHEX3 = zzzzzzzz, testHEX4 = 11111001, testHEX5 = 10100100
                1540testSW = 0000000000, testKEY = 11, clock = 0000000000, testLED = 0, testHEX0 = 11000000, testHEX1 = 10100100, testHEX2 = 11111001, testHEX3 = zzzzzzzz, testHEX4 = 11111001, testHEX5 = 10100100
                1550testSW = 0000000000, testKEY = 11, clock = 0000000000, testLED = 1, testHEX0 = 11000000, testHEX1 = 10100100, testHEX2 = 11111001, testHEX3 = zzzzzzzz, testHEX4 = 11111001, testHEX5 = 10100100
                1560testSW = 0000000000, testKEY = 11, clock = 0000000000, testLED = 0, testHEX0 = 11000000, testHEX1 = 10100100, testHEX2 = 11111001, testHEX3 = zzzzzzzz, testHEX4 = 11111001, testHEX5 = 10100100
                1570testSW = 0000000000, testKEY = 11, clock = 0000000000, testLED = 1, testHEX0 = 11000000, testHEX1 = 10100100, testHEX2 = 11111001, testHEX3 = zzzzzzzz, testHEX4 = 11111001, testHEX5 = 10100100
                1580testSW = 0000000000, testKEY = 11, clock = 0000000000, testLED = 0, testHEX0 = 11000000, testHEX1 = 10100100, testHEX2 = 11111001, testHEX3 = zzzzzzzz, testHEX4 = 11111001, testHEX5 = 10100100
                1590testSW = 0000000000, testKEY = 11, clock = 0000000001, testLED = 1, testHEX0 = 11111001, testHEX1 = 10100100, testHEX2 = 11111001, testHEX3 = zzzzzzzz, testHEX4 = 10100100, testHEX5 = 10100100
                1600testSW = 0000000000, testKEY = 11, clock = 0000000001, testLED = 0, testHEX0 = 11111001, testHEX1 = 10100100, testHEX2 = 11111001, testHEX3 = zzzzzzzz, testHEX4 = 10100100, testHEX5 = 10100100
                1610testSW = 0000000000, testKEY = 11, clock = 0000000001, testLED = 1, testHEX0 = 11111001, testHEX1 = 10100100, testHEX2 = 11111001, testHEX3 = zzzzzzzz, testHEX4 = 10100100, testHEX5 = 10100100
                1620testSW = 0000000000, testKEY = 11, clock = 0000000001, testLED = 0, testHEX0 = 11111001, testHEX1 = 10100100, testHEX2 = 11111001, testHEX3 = zzzzzzzz, testHEX4 = 10100100, testHEX5 = 10100100
                1630testSW = 0000000000, testKEY = 11, clock = 0000000001, testLED = 1, testHEX0 = 11111001, testHEX1 = 10100100, testHEX2 = 11111001, testHEX3 = zzzzzzzz, testHEX4 = 10100100, testHEX5 = 10100100
                1640testSW = 0000000000, testKEY = 11, clock = 0000000001, testLED = 0, testHEX0 = 11111001, testHEX1 = 10100100, testHEX2 = 11111001, testHEX3 = zzzzzzzz, testHEX4 = 10100100, testHEX5 = 10100100
                1650testSW = 0000000000, testKEY = 11, clock = 0000000001, testLED = 1, testHEX0 = 11111001, testHEX1 = 10100100, testHEX2 = 11111001, testHEX3 = zzzzzzzz, testHEX4 = 10100100, testHEX5 = 10100100
                1660testSW = 0000000000, testKEY = 11, clock = 0000000001, testLED = 0, testHEX0 = 11111001, testHEX1 = 10100100, testHEX2 = 11111001, testHEX3 = zzzzzzzz, testHEX4 = 10100100, testHEX5 = 10100100
                1670testSW = 0000000000, testKEY = 11, clock = 0000000000, testLED = 1, testHEX0 = 10100100, testHEX1 = 10100100, testHEX2 = 11111001, testHEX3 = zzzzzzzz, testHEX4 = 10110000, testHEX5 = 10100100
                1680testSW = 0000000000, testKEY = 11, clock = 0000000000, testLED = 0, testHEX0 = 10100100, testHEX1 = 10100100, testHEX2 = 11111001, testHEX3 = zzzzzzzz, testHEX4 = 10110000, testHEX5 = 10100100
                1690testSW = 0000000000, testKEY = 11, clock = 0000000000, testLED = 1, testHEX0 = 10100100, testHEX1 = 10100100, testHEX2 = 11111001, testHEX3 = zzzzzzzz, testHEX4 = 10110000, testHEX5 = 10100100
                1700testSW = 0000000000, testKEY = 11, clock = 0000000000, testLED = 0, testHEX0 = 10100100, testHEX1 = 10100100, testHEX2 = 11111001, testHEX3 = zzzzzzzz, testHEX4 = 10110000, testHEX5 = 10100100
                1710testSW = 0000000000, testKEY = 11, clock = 0000000000, testLED = 1, testHEX0 = 10100100, testHEX1 = 10100100, testHEX2 = 11111001, testHEX3 = zzzzzzzz, testHEX4 = 10110000, testHEX5 = 10100100
                1720testSW = 0000000000, testKEY = 11, clock = 0000000000, testLED = 0, testHEX0 = 10100100, testHEX1 = 10100100, testHEX2 = 11111001, testHEX3 = zzzzzzzz, testHEX4 = 10110000, testHEX5 = 10100100
                1730testSW = 0000000000, testKEY = 11, clock = 0000000000, testLED = 1, testHEX0 = 10100100, testHEX1 = 10100100, testHEX2 = 11111001, testHEX3 = zzzzzzzz, testHEX4 = 10110000, testHEX5 = 10100100
                1740testSW = 0000000000, testKEY = 11, clock = 0000000000, testLED = 0, testHEX0 = 10100100, testHEX1 = 10100100, testHEX2 = 11111001, testHEX3 = zzzzzzzz, testHEX4 = 10110000, testHEX5 = 10100100
                1750testSW = 0000000000, testKEY = 11, clock = 0000000001, testLED = 1, testHEX0 = 10110000, testHEX1 = 10100100, testHEX2 = 11111001, testHEX3 = zzzzzzzz, testHEX4 = 10011001, testHEX5 = 10100100
                1760testSW = 0000000000, testKEY = 11, clock = 0000000001, testLED = 0, testHEX0 = 10110000, testHEX1 = 10100100, testHEX2 = 11111001, testHEX3 = zzzzzzzz, testHEX4 = 10011001, testHEX5 = 10100100
                1770testSW = 0000000000, testKEY = 11, clock = 0000000001, testLED = 1, testHEX0 = 10110000, testHEX1 = 10100100, testHEX2 = 11111001, testHEX3 = zzzzzzzz, testHEX4 = 10011001, testHEX5 = 10100100
                1780testSW = 0000000000, testKEY = 11, clock = 0000000001, testLED = 0, testHEX0 = 10110000, testHEX1 = 10100100, testHEX2 = 11111001, testHEX3 = zzzzzzzz, testHEX4 = 10011001, testHEX5 = 10100100
                1790testSW = 0000000000, testKEY = 11, clock = 0000000001, testLED = 1, testHEX0 = 10110000, testHEX1 = 10100100, testHEX2 = 11111001, testHEX3 = zzzzzzzz, testHEX4 = 10011001, testHEX5 = 10100100
                1800testSW = 0000000000, testKEY = 11, clock = 0000000001, testLED = 0, testHEX0 = 10110000, testHEX1 = 10100100, testHEX2 = 11111001, testHEX3 = zzzzzzzz, testHEX4 = 10011001, testHEX5 = 10100100
                1810testSW = 0000000000, testKEY = 11, clock = 0000000001, testLED = 1, testHEX0 = 10110000, testHEX1 = 10100100, testHEX2 = 11111001, testHEX3 = zzzzzzzz, testHEX4 = 10011001, testHEX5 = 10100100
                1820testSW = 0000000000, testKEY = 11, clock = 0000000001, testLED = 0, testHEX0 = 10110000, testHEX1 = 10100100, testHEX2 = 11111001, testHEX3 = zzzzzzzz, testHEX4 = 10011001, testHEX5 = 10100100
                1830testSW = 0000000000, testKEY = 11, clock = 0000000000, testLED = 1, testHEX0 = 10011001, testHEX1 = 10100100, testHEX2 = 11111001, testHEX3 = zzzzzzzz, testHEX4 = 10010010, testHEX5 = 10100100
                1840testSW = 0000000000, testKEY = 11, clock = 0000000000, testLED = 0, testHEX0 = 10011001, testHEX1 = 10100100, testHEX2 = 11111001, testHEX3 = zzzzzzzz, testHEX4 = 10010010, testHEX5 = 10100100
                1850testSW = 0000000000, testKEY = 11, clock = 0000000000, testLED = 1, testHEX0 = 10011001, testHEX1 = 10100100, testHEX2 = 11111001, testHEX3 = zzzzzzzz, testHEX4 = 10010010, testHEX5 = 10100100
                1860testSW = 0000000000, testKEY = 11, clock = 0000000000, testLED = 0, testHEX0 = 10011001, testHEX1 = 10100100, testHEX2 = 11111001, testHEX3 = zzzzzzzz, testHEX4 = 10010010, testHEX5 = 10100100
                1870testSW = 0000000000, testKEY = 11, clock = 0000000000, testLED = 1, testHEX0 = 10011001, testHEX1 = 10100100, testHEX2 = 11111001, testHEX3 = zzzzzzzz, testHEX4 = 10010010, testHEX5 = 10100100
                1880testSW = 0000000000, testKEY = 11, clock = 0000000000, testLED = 0, testHEX0 = 10011001, testHEX1 = 10100100, testHEX2 = 11111001, testHEX3 = zzzzzzzz, testHEX4 = 10010010, testHEX5 = 10100100
                1890testSW = 0000000000, testKEY = 11, clock = 0000000000, testLED = 1, testHEX0 = 10011001, testHEX1 = 10100100, testHEX2 = 11111001, testHEX3 = zzzzzzzz, testHEX4 = 10010010, testHEX5 = 10100100
                1900testSW = 0000000000, testKEY = 11, clock = 0000000000, testLED = 0, testHEX0 = 10011001, testHEX1 = 10100100, testHEX2 = 11111001, testHEX3 = zzzzzzzz, testHEX4 = 10010010, testHEX5 = 10100100
                1910testSW = 0000000000, testKEY = 11, clock = 0000000001, testLED = 1, testHEX0 = 10010010, testHEX1 = 10100100, testHEX2 = 11111001, testHEX3 = zzzzzzzz, testHEX4 = 10000010, testHEX5 = 10100100
                1920testSW = 0000000000, testKEY = 11, clock = 0000000001, testLED = 0, testHEX0 = 10010010, testHEX1 = 10100100, testHEX2 = 11111001, testHEX3 = zzzzzzzz, testHEX4 = 10000010, testHEX5 = 10100100
                1930testSW = 0000000000, testKEY = 11, clock = 0000000001, testLED = 1, testHEX0 = 10010010, testHEX1 = 10100100, testHEX2 = 11111001, testHEX3 = zzzzzzzz, testHEX4 = 10000010, testHEX5 = 10100100
                1940testSW = 0000000000, testKEY = 11, clock = 0000000001, testLED = 0, testHEX0 = 10010010, testHEX1 = 10100100, testHEX2 = 11111001, testHEX3 = zzzzzzzz, testHEX4 = 10000010, testHEX5 = 10100100
                1950testSW = 0000000000, testKEY = 11, clock = 0000000001, testLED = 1, testHEX0 = 10010010, testHEX1 = 10100100, testHEX2 = 11111001, testHEX3 = zzzzzzzz, testHEX4 = 10000010, testHEX5 = 10100100
                1960testSW = 0000000000, testKEY = 11, clock = 0000000001, testLED = 0, testHEX0 = 10010010, testHEX1 = 10100100, testHEX2 = 11111001, testHEX3 = zzzzzzzz, testHEX4 = 10000010, testHEX5 = 10100100
                1970testSW = 0000000000, testKEY = 11, clock = 0000000001, testLED = 1, testHEX0 = 10010010, testHEX1 = 10100100, testHEX2 = 11111001, testHEX3 = zzzzzzzz, testHEX4 = 10000010, testHEX5 = 10100100
                1980testSW = 0000000000, testKEY = 11, clock = 0000000001, testLED = 0, testHEX0 = 10010010, testHEX1 = 10100100, testHEX2 = 11111001, testHEX3 = zzzzzzzz, testHEX4 = 10000010, testHEX5 = 10100100
                1990testSW = 0000000000, testKEY = 11, clock = 0000000000, testLED = 1, testHEX0 = 10000010, testHEX1 = 10100100, testHEX2 = 11111001, testHEX3 = zzzzzzzz, testHEX4 = 11111000, testHEX5 = 10100100
                2000testSW = 0000000000, testKEY = 11, clock = 0000000000, testLED = 0, testHEX0 = 10000010, testHEX1 = 10100100, testHEX2 = 11111001, testHEX3 = zzzzzzzz, testHEX4 = 11111000, testHEX5 = 10100100
                2010testSW = 0000000000, testKEY = 11, clock = 0000000000, testLED = 1, testHEX0 = 10000010, testHEX1 = 10100100, testHEX2 = 11111001, testHEX3 = zzzzzzzz, testHEX4 = 11111000, testHEX5 = 10100100
                2020testSW = 0000000000, testKEY = 11, clock = 0000000000, testLED = 0, testHEX0 = 10000010, testHEX1 = 10100100, testHEX2 = 11111001, testHEX3 = zzzzzzzz, testHEX4 = 11111000, testHEX5 = 10100100
                2030testSW = 0000000000, testKEY = 11, clock = 0000000000, testLED = 1, testHEX0 = 10000010, testHEX1 = 10100100, testHEX2 = 11111001, testHEX3 = zzzzzzzz, testHEX4 = 11111000, testHEX5 = 10100100
                2040testSW = 0000000000, testKEY = 11, clock = 0000000000, testLED = 0, testHEX0 = 10000010, testHEX1 = 10100100, testHEX2 = 11111001, testHEX3 = zzzzzzzz, testHEX4 = 11111000, testHEX5 = 10100100
                2050testSW = 0000000000, testKEY = 11, clock = 0000000000, testLED = 1, testHEX0 = 10000010, testHEX1 = 10100100, testHEX2 = 11111001, testHEX3 = zzzzzzzz, testHEX4 = 11111000, testHEX5 = 10100100
                2060testSW = 0000000000, testKEY = 11, clock = 0000000000, testLED = 0, testHEX0 = 10000010, testHEX1 = 10100100, testHEX2 = 11111001, testHEX3 = zzzzzzzz, testHEX4 = 11111000, testHEX5 = 10100100
                2070testSW = 0000000000, testKEY = 11, clock = 0000000001, testLED = 1, testHEX0 = 11111000, testHEX1 = 10100100, testHEX2 = 11111001, testHEX3 = zzzzzzzz, testHEX4 = 10000000, testHEX5 = 10100100
                2080testSW = 0000000000, testKEY = 11, clock = 0000000001, testLED = 0, testHEX0 = 11111000, testHEX1 = 10100100, testHEX2 = 11111001, testHEX3 = zzzzzzzz, testHEX4 = 10000000, testHEX5 = 10100100
                2090testSW = 0000000000, testKEY = 11, clock = 0000000001, testLED = 1, testHEX0 = 11111000, testHEX1 = 10100100, testHEX2 = 11111001, testHEX3 = zzzzzzzz, testHEX4 = 10000000, testHEX5 = 10100100
                2100testSW = 0000000000, testKEY = 11, clock = 0000000001, testLED = 0, testHEX0 = 11111000, testHEX1 = 10100100, testHEX2 = 11111001, testHEX3 = zzzzzzzz, testHEX4 = 10000000, testHEX5 = 10100100
                2110testSW = 0000000000, testKEY = 11, clock = 0000000001, testLED = 1, testHEX0 = 11111000, testHEX1 = 10100100, testHEX2 = 11111001, testHEX3 = zzzzzzzz, testHEX4 = 10000000, testHEX5 = 10100100
                2120testSW = 0000000000, testKEY = 11, clock = 0000000001, testLED = 0, testHEX0 = 11111000, testHEX1 = 10100100, testHEX2 = 11111001, testHEX3 = zzzzzzzz, testHEX4 = 10000000, testHEX5 = 10100100
                2130testSW = 0000000000, testKEY = 11, clock = 0000000001, testLED = 1, testHEX0 = 11111000, testHEX1 = 10100100, testHEX2 = 11111001, testHEX3 = zzzzzzzz, testHEX4 = 10000000, testHEX5 = 10100100
                2140testSW = 0000000000, testKEY = 11, clock = 0000000001, testLED = 0, testHEX0 = 11111000, testHEX1 = 10100100, testHEX2 = 11111001, testHEX3 = zzzzzzzz, testHEX4 = 10000000, testHEX5 = 10100100
                2150testSW = 0000000000, testKEY = 11, clock = 0000000000, testLED = 1, testHEX0 = 10000000, testHEX1 = 10100100, testHEX2 = 11111001, testHEX3 = zzzzzzzz, testHEX4 = 10011000, testHEX5 = 10100100
                2160testSW = 0000000000, testKEY = 11, clock = 0000000000, testLED = 0, testHEX0 = 10000000, testHEX1 = 10100100, testHEX2 = 11111001, testHEX3 = zzzzzzzz, testHEX4 = 10011000, testHEX5 = 10100100
                2170testSW = 0000000000, testKEY = 11, clock = 0000000000, testLED = 1, testHEX0 = 10000000, testHEX1 = 10100100, testHEX2 = 11111001, testHEX3 = zzzzzzzz, testHEX4 = 10011000, testHEX5 = 10100100
                2180testSW = 0000000000, testKEY = 11, clock = 0000000000, testLED = 0, testHEX0 = 10000000, testHEX1 = 10100100, testHEX2 = 11111001, testHEX3 = zzzzzzzz, testHEX4 = 10011000, testHEX5 = 10100100
                2190testSW = 0000000000, testKEY = 11, clock = 0000000000, testLED = 1, testHEX0 = 10000000, testHEX1 = 10100100, testHEX2 = 11111001, testHEX3 = zzzzzzzz, testHEX4 = 10011000, testHEX5 = 10100100
                2200testSW = 0000000000, testKEY = 11, clock = 0000000000, testLED = 0, testHEX0 = 10000000, testHEX1 = 10100100, testHEX2 = 11111001, testHEX3 = zzzzzzzz, testHEX4 = 10011000, testHEX5 = 10100100
                2210testSW = 0000000000, testKEY = 11, clock = 0000000000, testLED = 1, testHEX0 = 10000000, testHEX1 = 10100100, testHEX2 = 11111001, testHEX3 = zzzzzzzz, testHEX4 = 10011000, testHEX5 = 10100100
                2220testSW = 0000000000, testKEY = 11, clock = 0000000000, testLED = 0, testHEX0 = 10000000, testHEX1 = 10100100, testHEX2 = 11111001, testHEX3 = zzzzzzzz, testHEX4 = 10011000, testHEX5 = 10100100
                2230testSW = 0000000000, testKEY = 11, clock = 0000000001, testLED = 1, testHEX0 = 10011000, testHEX1 = 10100100, testHEX2 = 11111001, testHEX3 = zzzzzzzz, testHEX4 = 11000000, testHEX5 = 10110000
                2240testSW = 0000000000, testKEY = 11, clock = 0000000001, testLED = 0, testHEX0 = 10011000, testHEX1 = 10100100, testHEX2 = 11111001, testHEX3 = zzzzzzzz, testHEX4 = 11000000, testHEX5 = 10110000
                2250testSW = 0000000000, testKEY = 11, clock = 0000000001, testLED = 1, testHEX0 = 10011000, testHEX1 = 10100100, testHEX2 = 11111001, testHEX3 = zzzzzzzz, testHEX4 = 11000000, testHEX5 = 10110000
                2260testSW = 0000000000, testKEY = 11, clock = 0000000001, testLED = 0, testHEX0 = 10011000, testHEX1 = 10100100, testHEX2 = 11111001, testHEX3 = zzzzzzzz, testHEX4 = 11000000, testHEX5 = 10110000
                2270testSW = 0000000000, testKEY = 11, clock = 0000000001, testLED = 1, testHEX0 = 10011000, testHEX1 = 10100100, testHEX2 = 11111001, testHEX3 = zzzzzzzz, testHEX4 = 11000000, testHEX5 = 10110000
                2280testSW = 0000000000, testKEY = 11, clock = 0000000001, testLED = 0, testHEX0 = 10011000, testHEX1 = 10100100, testHEX2 = 11111001, testHEX3 = zzzzzzzz, testHEX4 = 11000000, testHEX5 = 10110000
                2290testSW = 0000000000, testKEY = 11, clock = 0000000001, testLED = 1, testHEX0 = 10011000, testHEX1 = 10100100, testHEX2 = 11111001, testHEX3 = zzzzzzzz, testHEX4 = 11000000, testHEX5 = 10110000
                2300testSW = 0000000000, testKEY = 11, clock = 0000000001, testLED = 0, testHEX0 = 10011000, testHEX1 = 10100100, testHEX2 = 11111001, testHEX3 = zzzzzzzz, testHEX4 = 11000000, testHEX5 = 10110000
                2310testSW = 0000000000, testKEY = 11, clock = 0000000000, testLED = 1, testHEX0 = 11000000, testHEX1 = 10110000, testHEX2 = 11111001, testHEX3 = zzzzzzzz, testHEX4 = 11111001, testHEX5 = 10110000
                2320testSW = 0000000000, testKEY = 11, clock = 0000000000, testLED = 0, testHEX0 = 11000000, testHEX1 = 10110000, testHEX2 = 11111001, testHEX3 = zzzzzzzz, testHEX4 = 11111001, testHEX5 = 10110000
                2330testSW = 0000000000, testKEY = 11, clock = 0000000000, testLED = 1, testHEX0 = 11000000, testHEX1 = 10110000, testHEX2 = 11111001, testHEX3 = zzzzzzzz, testHEX4 = 11111001, testHEX5 = 10110000
                2340testSW = 0000000000, testKEY = 11, clock = 0000000000, testLED = 0, testHEX0 = 11000000, testHEX1 = 10110000, testHEX2 = 11111001, testHEX3 = zzzzzzzz, testHEX4 = 11111001, testHEX5 = 10110000
                2350testSW = 0000000000, testKEY = 11, clock = 0000000000, testLED = 1, testHEX0 = 11000000, testHEX1 = 10110000, testHEX2 = 11111001, testHEX3 = zzzzzzzz, testHEX4 = 11111001, testHEX5 = 10110000
                2360testSW = 0000000000, testKEY = 11, clock = 0000000000, testLED = 0, testHEX0 = 11000000, testHEX1 = 10110000, testHEX2 = 11111001, testHEX3 = zzzzzzzz, testHEX4 = 11111001, testHEX5 = 10110000
                2370testSW = 0000000000, testKEY = 11, clock = 0000000000, testLED = 1, testHEX0 = 11000000, testHEX1 = 10110000, testHEX2 = 11111001, testHEX3 = zzzzzzzz, testHEX4 = 11111001, testHEX5 = 10110000
                2380testSW = 0000000000, testKEY = 11, clock = 0000000000, testLED = 0, testHEX0 = 11000000, testHEX1 = 10110000, testHEX2 = 11111001, testHEX3 = zzzzzzzz, testHEX4 = 11111001, testHEX5 = 10110000
                2390testSW = 0000000000, testKEY = 11, clock = 0000000001, testLED = 1, testHEX0 = 11111001, testHEX1 = 10110000, testHEX2 = 10100100, testHEX3 = zzzzzzzz, testHEX4 = 10100100, testHEX5 = 10110000
                2400testSW = 0000000000, testKEY = 11, clock = 0000000001, testLED = 0, testHEX0 = 11111001, testHEX1 = 10110000, testHEX2 = 10100100, testHEX3 = zzzzzzzz, testHEX4 = 10100100, testHEX5 = 10110000
                2410testSW = 0000000000, testKEY = 11, clock = 0000000001, testLED = 1, testHEX0 = 11111001, testHEX1 = 10110000, testHEX2 = 10100100, testHEX3 = zzzzzzzz, testHEX4 = 10100100, testHEX5 = 10110000
                2420testSW = 0000000000, testKEY = 11, clock = 0000000001, testLED = 0, testHEX0 = 11111001, testHEX1 = 10110000, testHEX2 = 10100100, testHEX3 = zzzzzzzz, testHEX4 = 10100100, testHEX5 = 10110000
                2430testSW = 0000000000, testKEY = 11, clock = 0000000001, testLED = 1, testHEX0 = 11111001, testHEX1 = 10110000, testHEX2 = 10100100, testHEX3 = zzzzzzzz, testHEX4 = 10100100, testHEX5 = 10110000
